Zillow ID,address,zipcode,alat,alon,valuation,sqft,neighborhood
29498621,8113 West Gate Boulevard,78745,30.197589,-97.828106,265572.0,940.0,Cherry Creek
29440641,2109 Red Stone Lane,78727,30.418454,-97.69619,249696.0,1359.0,Tomanet Estates
29345444,9 Glen Rock Drive,78738,30.341187,-97.984049,472040.0,2896.0,
29613796,8333 Alvin High Lane,78729,30.460441,-97.761118,307384.0,1983.0,Hunter's Chase
29358809,5300 Valburn Circle,78731,30.374096,-97.775259,941669.0,4376.0,North Cat Mountain
29471589,11125 Maha Loop Road,78617,30.082419,-97.664366,212919.0,1960.0,
29352791,102 Javelin Drive,78734,30.360267,-97.998646,370772.0,2088.0,
64884422,7220 Cielo Azul Pass,78726,30.41662,-97.874616,2592410.0,6060.0,
29417097,2000 Brentwood Street,78757,30.340507,-97.734626,445342.0,1051.0,Abercrombie
83820494,12220 Dwight Eisenhower Street,78653,30.354256,-97.526464,,1512.0,Presidential Meadows
144341633,1253 Dunlap Road South,78725,30.22287,-97.566622,361665.0,2550.0,Chaparral Crossing
29329859,1518 Palma Plaza,78703,30.282597,-97.759718,952322.0,2648.0,Enfield
29458788,403 Academy Drive,78704,30.25157,-97.7444,727568.0,3476.0,Travis Heights
89657079,322 Gold Star Drive,78613,30.520886,-97.790929,327874.0,2736.0,
29512165,10308 Manchaca Road,78748,30.167892,-97.827473,791901.0,1614.0,Saddlewood Estates
64905169,9438 Zyle Road,78737,30.201895,-97.936138,399616.0,2128.0,Sunrise Country
64604989,4713 Mirador Drive,78735,30.260976,-97.869399,,5891.0,
70332867,12405 Gun Metal Drive,78652,30.150896,-97.857849,485188.0,3642.0,Shady Hollow
111967826,1712 Cinnamon Path,78704,30.242114,-97.77598,462431.0,2314.0,South Lamar
55291209,17407 Breakwater Drive,78645,30.442393,-97.936912,2939610.0,6721.0,
29383775,16905 Decker Creek Drive,78653,30.248605,-97.550027,213631.0,1650.0,Chaparral Crossing
58310350,19828 Panther Drive,78660,30.482014,-97.592149,488194.0,3584.0,
70352618,12812 Capella Trail,78732,30.363136,-97.908427,578763.0,3742.0,
144978511,13512 Gregg Manor Road,78653,30.374486,-97.578787,,,Wildhorse Creek
88017703,900 Brighton Place,78665,30.526467,-97.642224,264590.0,2610.0,
70323842,1428 Mount Larson Road,78746,30.303457,-97.792714,,,Laguna Loma
2140377525,17701 Breakwater Drive,78645,30.442357,-97.941543,,135210.0,
29329022,1400 Lorrain Street,78703,30.280848,-97.755754,2413233.0,4427.0,Clarksville
29372695,10531 Grand Oak Circle,78750,30.428063,-97.800195,668818.0,4220.0,
125803336,4140 Westlake Drive,78746,30.334474,-97.796351,,,
29367490,5917 Taylor Draper Cove,78759,30.416679,-97.757561,443074.0,2197.0,Angus Valley
83830997,10305 Lava Lane,78747,30.122635,-97.732805,162608.0,1209.0,
29471860,11719 Schriber Road,78610,30.068848,-97.677038,,984.0,
144976046,13201 Old Kimbro Road,78653,30.35415,-97.494051,,,Presidential Glen
64783442,12701 Johnson Road,78653,30.379243,-97.508738,382170.0,2729.0,
29338134,909 Terrace Mountain Drive,78746,30.304669,-97.804143,1321659.0,3026.0,Windsong Estates
29391713,22300 Ann Showers Drive,78621,30.272878,-97.465506,153986.0,1344.0,Estates at Wilbarger Creek
2089566234,512 Congress Avenue,78701,30.217952,-97.766572,,1468.0,Downtown
94642131,16233 Zagros Way,78738,30.325966,-97.994969,563736.0,3876.0,
29374480,10609 Spicewood Club Drive,78750,30.433343,-97.805793,461962.0,2202.0,
64864603,17408 Sleepy Hollow Drive,78645,30.41279,-97.955573,338224.0,,
29466659,5406 Palo Blanco Lane,78744,30.196212,-97.749343,237236.0,1328.0,Franklin Park
29481547,6701 La Concha Pass,78749,30.230108,-97.873572,410714.0,2438.0,Legend Oaks
124720456,8305 Lookout Cliff Pass,78737,30.231526,-97.902662,498066.0,3505.0,West Oak Hill
64557244,14908 Fagerquist Road,78617,30.14137,-97.605647,230484.0,2128.0,Stony Point
29609674,9417 Altona Way,78717,30.487015,-97.762408,430538.0,3286.0,
29369390,11709 Oak Knoll Drive,78759,30.424702,-97.761513,355217.0,1600.0,
122075572,14230 Fitzhugh Road,78736,30.242031,-98.013379,446173.0,1510.0,
29471895,7406 Williamson Road,78610,30.043481,-97.731288,338994.0,1550.0,
63228169,11613 Mill Ridge Trace,78653,30.358221,-97.544131,300164.0,3057.0,
80087345,901 Golden Palomino Court,78732,30.353855,-97.901546,467979.0,2956.0,
144352225,9910 Peterson Road,78617,30.100517,-97.633985,843528.0,728.0,Country View Estates
29481920,10604 Oliver Circle,78736,30.228595,-97.944544,513072.0,2760.0,
29458294,20801 Trotters Lane,78660,30.491376,-97.579979,226725.0,1660.0,
29374133,9410 Topridge Drive,78750,30.434561,-97.797364,490648.0,2622.0,
29341202,3217 Lating Stream Lane,78746,30.317802,-97.785319,1105408.0,4432.0,Island Way
29402664,6613 Greensboro Drive,78723,30.307005,-97.662965,369669.0,1689.0,Las Cimas
29329572,11201 Solitary Fawn Trail,78735,30.296454,-97.917115,1069202.0,4844.0,
70334786,7012 Doyal Drive,78747,30.151836,-97.737882,217053.0,1665.0,Thaxton Place
29392790,1712 Adina Street,78721,30.281868,-97.680627,285692.0,1080.0,MLK-183
29347491,4407 City Park Road,78730,30.356611,-97.826757,768344.0,2919.0,Long Canyon
29514532,2716 Arroyo Blanco Cove,78748,30.155409,-97.851394,405334.0,2841.0,Olympic Heights
144297633,17109 Steger Lane,78653,30.414343,-97.51751,,2927.0,Bella Vista at Cottonwood Creek
29410961,7105 Northeast Drive,78723,30.321213,-97.678712,376801.0,1744.0,Coronado Hills
202151883,85 Country Oaks Drive,78610,30.116677,-97.886274,482414.0,2209.0,
28604932,204 Mandan Street,78610,30.079142,-97.839185,210292.0,1369.0,
79980448,9608 Derecho Bend,78737,30.222492,-97.93371,492392.0,2350.0,Estates of Lewis Mountain
60136457,13113 Country Lake Drive,78732,30.375562,-97.902388,664325.0,3962.0,
60136673,2724 Zambia Drive,78613,30.47211,-97.855542,486996.0,3805.0,
144980837,11811 Arnhamn Lane,78653,30.380431,-97.522848,189339.0,1478.0,Kimbro Creek Estates
116080915,14399 Montour Drive,78717,30.484543,-97.795501,584376.0,3557.0,
144985257,19919 Hodde Lane,78660,30.461594,-97.545824,,,Avalon
58317307,1116 Canon Yeomans Trail,78748,30.154372,-97.82707,284869.0,1860.0,Canterbury Trails
144291430,12700 Sparks Road,78653,30.388275,-97.503637,860539.0,1552.0,
58306383,3811 Tarragona Lane,78727,30.415177,-97.722098,371438.0,1830.0,Angus Valley
58297816,1601 Acacia Bud Drive,78733,30.314017,-97.896431,938470.0,4457.0,
125890399,9708 Schmidt Lane,78653,30.407528,-97.536172,612237.0,4468.0,Magnolia Ranch Estates
29496033,4412 Corran Ferry Loop,78749,30.203132,-97.85215,358782.0,2023.0,Maple Run
29471395,9916 Horizon Lane,78719,30.105269,-97.679548,311501.0,2302.0,
29455053,16901 Gravesend Road,78660,30.460506,-97.64203,213711.0,1696.0,Swenson Farms
83815835,3510 Pawnee Pass,78738,30.330992,-97.97825,1143564.0,4367.0,
29432179,10403 Golden Quail Drive,78758,30.377924,-97.702183,288556.0,1414.0,North Austin Civic Association
64611976,11905 Lime Creek Road,78641,30.483423,-97.882794,314157.0,2024.0,
29438527,12196 Running Bird Lane,78758,30.406633,-97.695707,301205.0,1936.0,Village at Walnut Creek
80100664,7705 Huddleston Lane,78745,30.188366,-97.79844,342289.0,2506.0,Elm Wood Estates
29352403,108 Duck Lake Drive,78734,30.359757,-97.977363,409742.0,2332.0,The Preserve at Lakeway
29553994,1902 Shadowbrook Circle,78681,30.490701,-97.705277,416432.0,3093.0,Cimarron
29479398,7807 Callbram Lane,78736,30.233019,-97.894034,334185.0,1719.0,West Oak Hill
29494808,7101 Cherry Meadow Drive,78745,30.199179,-97.803962,210634.0,940.0,Cherry Meadows
70354255,11620 Shadow Creek Drive,78653,30.361849,-97.54993,243522.0,2031.0,
58299379,8320 Adirondack Trail,78759,30.379642,-97.757069,554721.0,2687.0,Mesa Forest
144974070,12132 Parsons Road,78653,30.328223,-97.507707,343569.0,3417.0,The Post Oak
29471661,7100 Verde Court,78610,30.063327,-97.714443,161073.0,2128.0,
64818530,1100 Teapot Drive,78660,30.423237,-97.641259,218565.0,1590.0,Northtown Park
144994497,11502 Bonham Lane,78736,30.236453,-98.004138,586893.0,1632.0,
125889469,3318 River Road,78612,30.203188,-97.508363,,,
29447558,14509 Crystal Court,78728,30.439805,-97.676659,301774.0,1584.0,
70356944,13304 Sleepy Hollow Road,78736,30.247939,-97.991176,759381.0,3814.0,
144991556,8009 Sassman Road,78747,30.138627,-97.725617,244505.0,1751.0,
